"Date","Tenant Name","Net Sales"
"2022-07-27","Beachside Shave Ice","510.5"
"2022-07-28","Beachside Shave Ice","860"
"2022-07-29","Beachside Shave Ice","750"
"2022-07-30","Beachside Shave Ice","685.5"
"2022-08-01","Beachside Shave Ice","298.94"
"2022-08-02","Beachside Shave Ice","629.88"
"2022-08-03","Beachside Shave Ice",NULL
"2022-08-04","Beachside Shave Ice","891.17"
"2022-08-05","Beachside Shave Ice","606.97"
"2022-08-06","Beachside Shave Ice","785.03"
"2022-08-08","Beachside Shave Ice","696.71"
"2022-08-09","Beachside Shave Ice","489.44"
"2022-08-10","Beachside Shave Ice","776.03"
"2022-08-11","Beachside Shave Ice","532.43"
"2022-08-12","Beachside Shave Ice","540.56"
"2022-08-13","Beachside Shave Ice","726.34"
"2022-08-15","Beachside Shave Ice","671.38"
"2022-08-16","Beachside Shave Ice","457.45"
"2022-08-17","Beachside Shave Ice","356.72"
"2022-08-18","Beachside Shave Ice","350.97"
"2022-08-19","Beachside Shave Ice","563.98"
"2022-08-20","Beachside Shave Ice","522.41"
"2022-08-22","Beachside Shave Ice","661.86"
"2022-08-23","Beachside Shave Ice","311.81"
"2022-08-24","Beachside Shave Ice","302.77"
"2022-08-25","Beachside Shave Ice","323.74"
"2022-08-26","Beachside Shave Ice","601.17"
"2022-08-27","Beachside Shave Ice","424.56"
"2022-08-29","Beachside Shave Ice","494.72"
"2022-08-30","Beachside Shave Ice","354.79"
"2022-08-31","Beachside Shave Ice","475"
"2022-09-01","Beachside Shave Ice","467.49"
"2022-09-02","Beachside Shave Ice","665.24"
"2022-09-03","Beachside Shave Ice","605.51"
"2022-09-04","Beachside Shave Ice",NULL
"2022-09-05","Beachside Shave Ice","447.41"
"2022-09-06","Beachside Shave Ice","507.61"
"2022-09-07","Beachside Shave Ice",NULL
"2022-09-08","Beachside Shave Ice","579.27"
"2022-09-09","Beachside Shave Ice","394.93"
"2022-09-10","Beachside Shave Ice","515.25"
"2022-09-11","Beachside Shave Ice",NULL
"2022-09-12","Beachside Shave Ice","414.46"
"2022-09-13","Beachside Shave Ice","275.49"
"2022-09-14","Beachside Shave Ice",NULL
"2022-09-15","Beachside Shave Ice","394.42"
"2022-09-16","Beachside Shave Ice","396.33"
"2022-09-17","Beachside Shave Ice","431.22"
"2022-09-19","Beachside Shave Ice","322.28"
"2022-09-20","Beachside Shave Ice","295.59"
"2022-09-21","Beachside Shave Ice",NULL
"2022-09-22","Beachside Shave Ice","454.14"
"2022-09-23","Beachside Shave Ice","416.37"
"2022-09-24","Beachside Shave Ice","524.8"
"2022-09-25","Beachside Shave Ice",NULL
"2022-09-26","Beachside Shave Ice","276.96"
"2022-09-27","Beachside Shave Ice","508.06"
"2022-09-28","Beachside Shave Ice",NULL
"2022-09-29","Beachside Shave Ice","222.49"
"2022-09-30","Beachside Shave Ice","483.73"
"2022-10-01","Beachside Shave Ice","528.09"
"2022-10-03","Beachside Shave Ice","650.35"
"2022-10-04","Beachside Shave Ice","371.01"
"2022-10-05","Beachside Shave Ice",NULL
"2022-10-06","Beachside Shave Ice","401.06"
"2022-10-07","Beachside Shave Ice","469.38"
"2022-10-08","Beachside Shave Ice","494.24"
"2022-10-10","Beachside Shave Ice","360.5"
"2022-10-11","Beachside Shave Ice","464.62"
"2022-10-12","Beachside Shave Ice",NULL
"2022-10-13","Beachside Shave Ice","460.34"
"2022-10-14","Beachside Shave Ice","456.03"
"2022-10-15","Beachside Shave Ice","424.56"
"2022-10-17","Beachside Shave Ice","537.14"
"2022-10-18","Beachside Shave Ice","480.86"
"2022-10-19","Beachside Shave Ice",NULL
"2022-10-20","Beachside Shave Ice","313.71"
"2022-10-21","Beachside Shave Ice","384.01"
"2022-10-22","Beachside Shave Ice","262.62"
"2022-10-24","Beachside Shave Ice","270"
"2022-10-25","Beachside Shave Ice","257.88"
"2022-10-26","Beachside Shave Ice",NULL
"2022-10-27","Beachside Shave Ice","319.88"
"2022-10-28","Beachside Shave Ice","264.54"
"2022-10-29","Beachside Shave Ice","459.84"
"2022-10-31","Beachside Shave Ice","262.64"
"2022-11-01","Beachside Shave Ice","301.8"
"2022-11-02","Beachside Shave Ice",NULL
"2022-11-03","Beachside Shave Ice","319.95"
"2022-11-04","Beachside Shave Ice","235.89"
"2022-11-05","Beachside Shave Ice","404.97"
"2022-11-07","Beachside Shave Ice","397.78"
"2022-11-08","Beachside Shave Ice","218.7"
"2022-11-09","Beachside Shave Ice",NULL
"2022-11-10","Beachside Shave Ice","252.21"
"2022-11-11","Beachside Shave Ice","342.98"
"2022-11-12","Beachside Shave Ice","500.83"
"2022-11-14","Beachside Shave Ice","301.22"
"2022-11-15","Beachside Shave Ice","236.89"
"2022-11-16","Beachside Shave Ice",NULL
"2022-11-17","Beachside Shave Ice","300.62"
"2022-11-18","Beachside Shave Ice","288.29"
"2022-11-19","Beachside Shave Ice","476.04"
"2022-11-21","Beachside Shave Ice","400.87"
"2022-11-22","Beachside Shave Ice","478.96"
"2022-11-23","Beachside Shave Ice","300.84"
"2022-11-24","Beachside Shave Ice",NULL
"2022-11-25","Beachside Shave Ice","401.31"
"2022-11-26","Beachside Shave Ice","460.39"
"2022-11-27","Beachside Shave Ice",NULL
"2022-11-28","Beachside Shave Ice","195.3"
"2022-11-29","Beachside Shave Ice",NULL
"2022-11-30","Beachside Shave Ice",NULL
"2022-12-01","Beachside Shave Ice","213.23"
"2022-12-02","Beachside Shave Ice","300.25"
"2022-12-03","Beachside Shave Ice","146.69"
"2022-12-04","Beachside Shave Ice",NULL
"2022-12-05","Beachside Shave Ice","221.21"
"2022-12-06","Beachside Shave Ice","177.18"
"2022-12-07","Beachside Shave Ice",NULL
"2022-12-08","Beachside Shave Ice","222.11"
"2022-12-09","Beachside Shave Ice","200.34"
"2022-12-10","Beachside Shave Ice","203.2"
"2022-12-11","Beachside Shave Ice",NULL
"2022-12-12","Beachside Shave Ice","178.53"
"2022-12-13","Beachside Shave Ice","200.78"
"2022-12-14","Beachside Shave Ice",NULL
"2022-12-15","Beachside Shave Ice","111.08"
"2022-12-16","Beachside Shave Ice","210.22"
"2022-12-17","Beachside Shave Ice","342"
"2022-12-19","Beachside Shave Ice","0"
"2022-12-20","Beachside Shave Ice","123.26"
"2022-12-21","Beachside Shave Ice","105.99"
"2022-12-22","Beachside Shave Ice","589.19"
"2022-12-23","Beachside Shave Ice","423.46"
"2022-12-24","Beachside Shave Ice",NULL
"2022-12-26","Beachside Shave Ice",NULL
"2022-12-27","Beachside Shave Ice","513.57"
"2022-12-28","Beachside Shave Ice","328.64"
"2022-12-29","Beachside Shave Ice","632.84"
"2022-12-30","Beachside Shave Ice","348.19"
"2022-12-31","Beachside Shave Ice",NULL
"2023-01-01","Beachside Shave Ice",NULL
"2023-01-02","Beachside Shave Ice","486.36"
"2023-01-03","Beachside Shave Ice","524.59"
"2023-01-04","Beachside Shave Ice",NULL
"2023-01-05","Beachside Shave Ice","412.36"
"2023-01-06","Beachside Shave Ice","341.7"
"2023-01-07","Beachside Shave Ice","114.86"
"2023-01-09","Beachside Shave Ice","368"
"2023-01-10","Beachside Shave Ice","247.5"
"2023-01-11","Beachside Shave Ice",NULL
"2023-01-12","Beachside Shave Ice","346.5"
"2023-01-13","Beachside Shave Ice","308"
"2023-01-14","Beachside Shave Ice","319.5"
"2023-01-16","Beachside Shave Ice","403"
"2023-01-17","Beachside Shave Ice","312"
"2023-01-18","Beachside Shave Ice",NULL
"2023-01-19","Beachside Shave Ice","333"
"2023-01-20","Beachside Shave Ice","282"
"2023-01-21","Beachside Shave Ice","239"
"2023-01-23","Beachside Shave Ice","324.5"
"2023-01-24","Beachside Shave Ice","371"
"2023-01-25","Beachside Shave Ice",NULL
"2023-01-26","Beachside Shave Ice","332.5"
"2023-01-27","Beachside Shave Ice","174"
"2023-01-28","Beachside Shave Ice","332.5"
"2023-01-30","Beachside Shave Ice",NULL
"2023-01-31","Beachside Shave Ice","216.5"
"2023-02-01","Beachside Shave Ice",NULL
"2023-02-02","Beachside Shave Ice","332.5"
"2023-02-03","Beachside Shave Ice","254"
"2023-02-04","Beachside Shave Ice",NULL
"2023-02-05","Beachside Shave Ice",NULL
"2023-02-06","Beachside Shave Ice","444"
"2023-02-07","Beachside Shave Ice","318.5"
"2023-02-08","Beachside Shave Ice",NULL
"2023-02-09","Beachside Shave Ice","172.5"
"2023-02-10","Beachside Shave Ice","186"
"2023-02-11","Beachside Shave Ice","295.5"
"2023-02-13","Beachside Shave Ice","222.5"
"2023-02-14","Beachside Shave Ice","369"
"2023-02-15","Beachside Shave Ice",NULL
"2023-02-16","Beachside Shave Ice","538"
"2023-02-17","Beachside Shave Ice","332.5"
"2023-02-18","Beachside Shave Ice","290.5"
"2023-02-20","Beachside Shave Ice","256.5"
"2023-02-21","Beachside Shave Ice","283"
"2023-02-22","Beachside Shave Ice",NULL
"2023-02-23","Beachside Shave Ice","282"
"2023-02-24","Beachside Shave Ice","196"
"2023-02-25","Beachside Shave Ice","406"
"2023-02-27","Beachside Shave Ice","187.5"
"2023-02-28","Beachside Shave Ice","196.5"
"2023-03-01","Beachside Shave Ice",NULL
"2023-03-02","Beachside Shave Ice","182.5"
"2023-03-03","Beachside Shave Ice","289"
"2023-03-04","Beachside Shave Ice","254"
"2023-03-06","Beachside Shave Ice","272"
"2023-03-07","Beachside Shave Ice","489"
"2023-03-08","Beachside Shave Ice",NULL
"2023-03-09","Beachside Shave Ice","327.5"
"2023-03-10","Beachside Shave Ice","239"
"2023-03-11","Beachside Shave Ice","514.5"
"2023-03-13","Beachside Shave Ice","491"
"2023-03-14","Beachside Shave Ice","564"
"2023-03-15","Beachside Shave Ice",NULL
"2023-03-16","Beachside Shave Ice","655.5"
"2023-03-17","Beachside Shave Ice","529"
"2023-03-18","Beachside Shave Ice","394.5"
"2023-03-20","Beachside Shave Ice","356"
"2023-03-21","Beachside Shave Ice","297"
"2023-03-22","Beachside Shave Ice",NULL
"2023-03-23","Beachside Shave Ice","432.24"
"2023-03-24","Beachside Shave Ice","570.72"
"2023-03-25","Beachside Shave Ice","797.5"
"2023-03-27","Beachside Shave Ice","869"
"2023-03-28","Beachside Shave Ice","314.5"
"2023-03-29","Beachside Shave Ice",NULL
"2023-03-30","Beachside Shave Ice","428.5"
"2023-03-31","Beachside Shave Ice","468.5"
"2023-04-01","Beachside Shave Ice","638.5"
"2023-04-03","Beachside Shave Ice","475.5"
"2023-04-04","Beachside Shave Ice","465.5"
"2023-04-05","Beachside Shave Ice",NULL
"2023-04-06","Beachside Shave Ice","570.5"
"2023-04-07","Beachside Shave Ice","370.5"
